  REQUEST =>[FLOOR:00 TIME:000]	Task=Tasks.CarCall_07_8, Direction=   Direction.UP, Target Floor=07
 SCHEDULE =>[FLOOR:01 BEGIN:000 END:001]	    Elevator_00 --> Task= Tasks.CarCall_07_8::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:02 BEGIN:001 END:002]	    Elevator_00 --> Task= Tasks.CarCall_07_8::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:03 BEGIN:002 END:003]	    Elevator_00 --> Task= Tasks.CarCall_07_8::Direction.UP, Capacity=1
  REQUEST =>[FLOOR:03 TIME:003]	Task=Tasks.HallCall_11_0, Direction=   Direction.UP, Target Floor=11
 SCHEDULE =>[FLOOR:04 BEGIN:003 END:004]	    Elevator_00 --> Task= Tasks.CarCall_07_8::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:05 BEGIN:004 END:005]	    Elevator_00 --> Task= Tasks.CarCall_07_8::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:06 BEGIN:005 END:006]	    Elevator_00 --> Task= Tasks.CarCall_07_8::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:07 BEGIN:006 END:007]	    Elevator_00 --> Task= Tasks.CarCall_07_8::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:07 BEGIN:007 END:008]	    Elevator_00 --> EMPTY
  REQUEST =>[FLOOR:07 TIME:008]	Task=Tasks.CarCall_03_1, Direction= Direction.DOWN, Target Floor=03
 SCHEDULE =>[FLOOR:06 BEGIN:008 END:009]	    Elevator_00 --> Task=Tasks.CarCall_03_1::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:05 BEGIN:009 END:010]	    Elevator_00 --> Task=Tasks.CarCall_03_1::Direction.DOWN, Capacity=1
  REQUEST =>[FLOOR:05 TIME:010]	Task=Tasks.HallCall_08_0, Direction=   Direction.UP, Target Floor=08
 SCHEDULE =>[FLOOR:04 BEGIN:010 END:011]	    Elevator_00 --> Task=Tasks.CarCall_03_1::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:03 BEGIN:011 END:012]	    Elevator_00 --> Task=Tasks.CarCall_03_1::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:04 BEGIN:012 END:013]	    Elevator_00 --> Task=Tasks.HallCall_08_0::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:05 BEGIN:013 END:014]	    Elevator_00 --> Task=Tasks.HallCall_08_0::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:06 BEGIN:014 END:015]	    Elevator_00 --> Task=Tasks.HallCall_08_0::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:07 BEGIN:015 END:016]	    Elevator_00 --> Task=Tasks.HallCall_08_0::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:08 BEGIN:016 END:017]	    Elevator_00 --> Task=Tasks.HallCall_08_0::Direction.UP, Capacity=1
  REQUEST =>[FLOOR:08 TIME:017]	Task=Tasks.CarCall_13_1, Direction=   Direction.UP, Target Floor=13
 SCHEDULE =>[FLOOR:09 BEGIN:017 END:018]	    Elevator_00 --> Task= Tasks.CarCall_13_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:10 BEGIN:018 END:019]	    Elevator_00 --> Task= Tasks.CarCall_13_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:11 BEGIN:019 END:020]	    Elevator_00 --> Task= Tasks.CarCall_13_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:12 BEGIN:020 END:021]	    Elevator_00 --> Task= Tasks.CarCall_13_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:13 BEGIN:021 END:022]	    Elevator_00 --> Task= Tasks.CarCall_13_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:13 BEGIN:022 END:023]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:13 BEGIN:023 END:024]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:13 BEGIN:024 END:025]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:13 BEGIN:025 END:026]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:13 BEGIN:026 END:027]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:13 BEGIN:027 END:028]	    Elevator_00 --> EMPTY
 SCHEDULE =>[FLOOR:13 BEGIN:028 END:029]	    Elevator_00 --> EMPTY
  REQUEST =>[FLOOR:13 TIME:029]	Task=Tasks.CarCall_07_1, Direction= Direction.DOWN, Target Floor=07
 SCHEDULE =>[FLOOR:12 BEGIN:029 END:030]	    Elevator_00 --> Task=Tasks.CarCall_07_1::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:11 BEGIN:030 END:031]	    Elevator_00 --> Task=Tasks.CarCall_07_1::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:10 BEGIN:031 END:032]	    Elevator_00 --> Task=Tasks.CarCall_07_1::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:09 BEGIN:032 END:033]	    Elevator_00 --> Task=Tasks.CarCall_07_1::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:08 BEGIN:033 END:034]	    Elevator_00 --> Task=Tasks.CarCall_07_1::Direction.DOWN, Capacity=1
 SCHEDULE =>[FLOOR:07 BEGIN:034 END:035]	    Elevator_00 --> Task=Tasks.CarCall_07_1::Direction.DOWN, Capacity=1
  REQUEST =>[FLOOR:07 TIME:035]	Task=Tasks.CarCall_15_1, Direction=   Direction.UP, Target Floor=15
 SCHEDULE =>[FLOOR:08 BEGIN:035 END:036]	    Elevator_00 --> Task= Tasks.CarCall_15_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:09 BEGIN:036 END:037]	    Elevator_00 --> Task= Tasks.CarCall_15_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:10 BEGIN:037 END:038]	    Elevator_00 --> Task= Tasks.CarCall_15_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:11 BEGIN:038 END:039]	    Elevator_00 --> Task= Tasks.CarCall_15_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:12 BEGIN:039 END:040]	    Elevator_00 --> Task= Tasks.CarCall_15_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:13 BEGIN:040 END:041]	    Elevator_00 --> Task= Tasks.CarCall_15_1::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:14 BEGIN:041 END:042]	    Elevator_00 --> Task= Tasks.CarCall_15_1::Direction.UP, Capacity=1
