  REQUEST =>[FLOOR:00 TIME:000]	Task=Task.HallCall_00_0_PassengerPriority.NORMAL, Direction=   Direction.UP, Target Floor=00
  REQUEST =>[FLOOR:00 TIME:000]	Task=Task.CarCall_09_0_PassengerPriority.NORMAL, Direction=   Direction.UP, Target Floor=09
 SCHEDULE =>[FLOOR:01 BEGIN:000 END:001]	    Elevator_00 --> Task=Task.CarCall_09_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:02 BEGIN:001 END:002]	    Elevator_00 --> Task=Task.CarCall_09_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
  REQUEST =>[FLOOR:02 TIME:002]	Task=Task.HallCall_02_0_PassengerPriority.NORMAL, Direction=   Direction.UP, Target Floor=02
  REQUEST =>[FLOOR:02 TIME:002]	Task=Task.CarCall_12_2_PassengerPriority.NORMAL, Direction=   Direction.UP, Target Floor=12
 SCHEDULE =>[FLOOR:03 BEGIN:002 END:003]	    Elevator_00 --> Task=Task.CarCall_09_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:04 BEGIN:003 END:004]	    Elevator_00 --> Task=Task.CarCall_09_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
  REQUEST =>[FLOOR:04 TIME:004]	Task=Task.HallCall_09_0_PassengerPriority.NORMAL, Direction= Direction.DOWN, Target Floor=09
 SCHEDULE =>[FLOOR:05 BEGIN:004 END:005]	    Elevator_00 --> Task=Task.CarCall_09_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
  REQUEST =>[FLOOR:05 TIME:005]	Task=Task.HallCall_04_0_PassengerPriority.NORMAL, Direction=   Direction.UP, Target Floor=04
 SCHEDULE =>[FLOOR:06 BEGIN:005 END:006]	    Elevator_00 --> Task=Task.CarCall_09_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:07 BEGIN:006 END:007]	    Elevator_00 --> Task=Task.CarCall_09_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:08 BEGIN:007 END:008]	    Elevator_00 --> Task=Task.CarCall_09_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:09 BEGIN:008 END:009]	    Elevator_00 --> Task=Task.CarCall_09_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:10 BEGIN:009 END:010]	    Elevator_00 --> Task=Task.CarCall_12_2_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:11 BEGIN:010 END:011]	    Elevator_00 --> Task=Task.CarCall_12_2_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:12 BEGIN:011 END:012]	    Elevator_00 --> Task=Task.CarCall_12_2_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:11 BEGIN:012 END:013]	    Elevator_00 --> Task=Task.HallCall_04_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:10 BEGIN:013 END:014]	    Elevator_00 --> Task=Task.HallCall_04_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:09 BEGIN:014 END:015]	    Elevator_00 --> Task=Task.HallCall_04_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:08 BEGIN:015 END:016]	    Elevator_00 --> Task=Task.HallCall_04_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:07 BEGIN:016 END:017]	    Elevator_00 --> Task=Task.HallCall_04_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:06 BEGIN:017 END:018]	    Elevator_00 --> Task=Task.HallCall_04_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
 SCHEDULE =>[FLOOR:05 BEGIN:018 END:019]	    Elevator_00 --> Task=Task.HallCall_04_0_PassengerPriority.NORMAL::Direction.UP, Capacity=1
